name,type,company,description,amount,notes,notes2,notes3,notes4
Jean-Vincent Placé,pro,,Directeur centre de formation,34800 EUR par an,Directeur centre de formation à mi-temps - 2900 EUR/mois,,,
Emeric Bréhier,pro,,Directeur de cabinet d'une collectivité territoriale,49645 EUR par an,"Directeur de cabinet d'une collectivité territoriale de septembre 2008 à juin 2012 - 4137,11 EUR / mois",,,
Alain Leboeuf,pro,,Directeur de collège,,Directeur de collège En vacances de poste pendant les élections. Arrêt le 09 juillet 2012.,,,
Benoît Hamon,pro,,Directeur de la société le Fil,24000 EUR par an,2000 EUR par mois,,,
Ronan Dantec,pro,,Directeur de l'entreprise individuelle,,Directeur de l'entreprise individuelle Votre-Expo et de l'EURL Ciné-Collections - Bilan déficitaire en 2012,,,
Guillaume Chevrollier,pro,,Directeur de Programmes Immobilier,56100 EUR par an,Directeur de Programmes Immobilier SNC KHORGEST -4675 EUR net par mois,,,
Dominique de Legge,pro,,Cessation de toute activité professionnelle en octobre 2008,,,,,
Alain Marsaud,pro,,Directeur de sociéte de Casino Guichard Perrachon,165600 EUR par an,13800 EUR brut mensuel,,,
Claude Malhuret,pro,,Directeur département éthique Korian,63600 EUR par an,5300 EUR net par mois,,,
Malek Boutih,pro,,Directeur des relations,42000 EUR par an,Directeur des relations institutionnelles de la Radio Skyrock - 3500,,,
Nicolas Bays,pro,,Directeur des RI de ma.residence.fr,56400 EUR par an,,,,
Bertrand Pancher,pro,,Directeur développement,2012 : 28010 EUR,01/2012 à 05/2012 : 10136 EUR rémunération nette imposable ; Pour l'année 2012 - 28010 EUR rémunération nette imposable,,,
Patrick Chaize,pro,,Directeur du syndicat intercommunal d'énergie et de e-communication de l'Ain,"81938,20 EUR par an","6828,20 EUR par mois",,,
Olivier Cigolotti,pro,,directeur d'un foyer de jeunes travailleurs,32580 EUR par an,2715 EUR PAR MOIS,,,
Meyer Habib,pro,,Directeur Général,84000 EUR par an,Directeur Général du groupe Vendome SA - Avant l'élection  - Salaire mensuel avec prime environ 7000 EUR/mois Après l'élection  - après l'élection du 10 juin 2013 avec prime salaire env 3700 EUR/mois Brut,,,
Serge Dassault,pro,,Directeur Général CHÂTEAU DASSAULT SAS,,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
Joël Guerriau,pro,,Directeur général de la Fédération Nationale des Caisses d'Epargne,2011: 485405 EUR,Depuis mon élection 0 EUR,,,
Richard Ferrand,pro,,Directeur général de Mutuelles d'assurances,2012 : 50003 EUR,"Directeur général des Mutuelles de Bretagne - Année 2012: 50003,12 EUR",,,
Christine Pires Beaune,pro,,Directeur général des Services,50727 EUR par an,"DGS Ville de Riom - 4227,28 net mai 2012",,,
Jérôme Durain,pro,,Directeur Sivom Accord,2014: 23681 EUR par an,"2014: 2609 EUR par mois  anualisé sur 9 mois de l'année dernier traitement 26/09/2014, détachement au 1er octobre pour exercice de mandat",,,
Anne-Yvonne Le Dain,pro,,Directrice de recherche CIRAD,63600 EUR par an,5300 EUR/mois,,,
